,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
8,ED,CONSOLIDATED EDISON INC,2011-12-31,10-K,2013-02-21,648000000.0,10673000000.0,1062000000.0,2239000000.0,12886000000.0,,21976200.0,11649000000.0,39214000000.0
9,ED,CONSOLIDATED EDISON INC,2011-12-31,10-K,2014-02-21,648000000.0,,1062000000.0,2239000000.0,12886000000.0,,,,
10,ED,CONSOLIDATED EDISON INC,2011-12-31,10-K,2015-02-19,648000000.0,,,,,,,,
3,ED,CONSOLIDATED EDISON INC,2010-12-31,10-K,2011-02-22,,,,,,,21976200.0,,
4,ED,CONSOLIDATED EDISON INC,2010-12-31,10-K,2012-02-21,338000000.0,10676000000.0,1003000000.0,2120000000.0,13325000000.0,,21976200.0,11274000000.0,36348000000.0
5,ED,CONSOLIDATED EDISON INC,2010-12-31,10-K,2013-02-21,338000000.0,,1003000000.0,2120000000.0,13325000000.0,,,,
6,ED,CONSOLIDATED EDISON INC,2010-12-31,10-K,2014-02-21,338000000.0,,,,,,,,
1,ED,CONSOLIDATED EDISON INC,2009-12-31,10-K,2012-02-21,260000000.0,,879000000.0,1899000000.0,13032000000.0,,,,
2,ED,CONSOLIDATED EDISON INC,2009-12-31,10-K,2013-02-21,260000000.0,,,,,,,,
0,ED,CONSOLIDATED EDISON INC,2008-12-31,10-K,2012-02-21,74000000.0,,,,,,,,
