,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
27,DVN,DEVON ENERGY CORP/DE,2011-09-30,10-K,2012-02-24,,,1038000000.0,,3502000000.0,,,
28,DVN,DEVON ENERGY CORP/DE,2011-09-30,10-K,2013-02-21,,,1038000000.0,,3502000000.0,,,
25,DVN,DEVON ENERGY CORP/DE,2011-06-30,10-K,2012-02-24,,,2743000000.0,,3220000000.0,,,
26,DVN,DEVON ENERGY CORP/DE,2011-06-30,10-K,2013-02-21,,,2743000000.0,,3220000000.0,,,
23,DVN,DEVON ENERGY CORP/DE,2011-03-31,10-K,2012-02-24,,,416000000.0,,2147000000.0,,,
24,DVN,DEVON ENERGY CORP/DE,2011-03-31,10-K,2013-02-21,,,416000000.0,,2147000000.0,,,
19,DVN,DEVON ENERGY CORP/DE,2010-12-31,10-K,2011-02-25,3290000000.0,,562000000.0,,2135000000.0,,19253000000.0,32927000000.0
20,DVN,DEVON ENERGY CORP/DE,2010-12-31,10-K,2012-02-24,3290000000.0,,562000000.0,,2135000000.0,,19253000000.0,32927000000.0
21,DVN,DEVON ENERGY CORP/DE,2010-12-31,10-K,2013-02-21,3290000000.0,,4550000000.0,,9940000000.0,,,
22,DVN,DEVON ENERGY CORP/DE,2010-12-31,10-K,2014-02-28,3290000000.0,,,,,,,
17,DVN,DEVON ENERGY CORP/DE,2010-09-30,10-K,2011-02-25,,,2090000000.0,,2353000000.0,,,
18,DVN,DEVON ENERGY CORP/DE,2010-09-30,10-K,2012-02-24,,,2090000000.0,,2353000000.0,,,
15,DVN,DEVON ENERGY CORP/DE,2010-06-30,10-K,2011-02-25,,,706000000.0,,2232000000.0,,,
16,DVN,DEVON ENERGY CORP/DE,2010-06-30,10-K,2012-02-24,,,706000000.0,,2232000000.0,,,
13,DVN,DEVON ENERGY CORP/DE,2010-03-31,10-K,2011-02-25,,,1192000000.0,,3220000000.0,,,
14,DVN,DEVON ENERGY CORP/DE,2010-03-31,10-K,2012-02-24,,,1192000000.0,,3220000000.0,,,
9,DVN,DEVON ENERGY CORP/DE,2009-12-31,10-K,2010-02-25,1011000000.0,,-2479000000.0,,8015000000.0,,15570000000.0,29686000000.0
10,DVN,DEVON ENERGY CORP/DE,2009-12-31,10-K,2011-02-25,1011000000.0,,667000000.0,,2445000000.0,,15570000000.0,29686000000.0
11,DVN,DEVON ENERGY CORP/DE,2009-12-31,10-K,2012-02-24,1011000000.0,,-2479000000.0,,8015000000.0,,,
12,DVN,DEVON ENERGY CORP/DE,2009-12-31,10-K,2013-02-21,1011000000.0,,,,,,,
8,DVN,DEVON ENERGY CORP/DE,2009-09-30,10-K,2011-02-25,,,499000000.0,,1848000000.0,,,
7,DVN,DEVON ENERGY CORP/DE,2009-06-30,10-K,2011-02-25,,,314000000.0,,1822000000.0,,,
6,DVN,DEVON ENERGY CORP/DE,2009-03-31,10-K,2011-02-25,,,-3959000000.0,,1900000000.0,,,
3,DVN,DEVON ENERGY CORP/DE,2008-12-31,10-K,2010-02-25,384000000.0,,-2148000000.0,,13858000000.0,,17060000000.0,31908000000.0
4,DVN,DEVON ENERGY CORP/DE,2008-12-31,10-K,2011-02-25,384000000.0,,-2148000000.0,,13858000000.0,,,
5,DVN,DEVON ENERGY CORP/DE,2008-12-31,10-K,2012-02-24,384000000.0,,,,,,,
1,DVN,DEVON ENERGY CORP/DE,2007-12-31,10-K,2010-02-25,1373000000.0,,3606000000.0,,9975000000.0,,,
2,DVN,DEVON ENERGY CORP/DE,2007-12-31,10-K,2011-02-25,1373000000.0,,,,,,,
0,DVN,DEVON ENERGY CORP/DE,2006-12-31,10-K,2010-02-25,756000000.0,,,,,,,
