,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,stockholders_equity,total_assets
37,ACN,Accenture plc,2012-08-31,10-K,2014-10-24,6640526000.0,2553510000.0,3871548000.0,29777985000.0,,
38,ACN,Accenture plc,2012-08-31,10-K,2015-10-30,6640526000.0,,,,,
33,ACN,Accenture plc,2012-05-31,10-K,2012-10-30,,689219000.0,1060761000.0,7640790000.0,,
34,ACN,Accenture plc,2012-05-31,10-K,2013-10-29,,689219000.0,1060761000.0,7640790000.0,,
32,ACN,Accenture plc,2012-02-29,10-K,2013-10-29,,643923000.0,889299000.0,7259828000.0,,
31,ACN,Accenture plc,2012-02-28,10-K,2012-10-30,,643923000.0,889299000.0,7259828000.0,,
29,ACN,Accenture plc,2011-11-30,10-K,2012-10-30,,642086000.0,981138000.0,7589108000.0,,
30,ACN,Accenture plc,2011-11-30,10-K,2013-10-29,,642086000.0,981138000.0,7589108000.0,,
25,ACN,Accenture plc,2011-08-31,10-K,2011-10-21,5701078000.0,611933000.0,922529000.0,7174073000.0,3878951000.0,15731510000.0
26,ACN,Accenture plc,2011-08-31,10-K,2012-10-30,5701078000.0,611933000.0,922529000.0,7174073000.0,3878951000.0,15731510000.0
27,ACN,Accenture plc,2011-08-31,10-K,2013-10-29,5701078000.0,2277677000.0,3470457000.0,27352914000.0,,
28,ACN,Accenture plc,2011-08-31,10-K,2014-10-24,5701078000.0,,,,,
23,ACN,Accenture plc,2011-05-31,10-K,2011-10-21,,628013000.0,949416000.0,7204355000.0,,
24,ACN,Accenture plc,2011-05-31,10-K,2012-10-30,,628013000.0,949416000.0,7204355000.0,,
21,ACN,Accenture plc,2011-02-28,10-K,2011-10-21,,503017000.0,771577000.0,6496293000.0,,
22,ACN,Accenture plc,2011-02-28,10-K,2012-10-30,,503017000.0,771577000.0,6496293000.0,,
19,ACN,Accenture plc,2010-11-30,10-K,2011-10-21,,534714000.0,826935000.0,6478193000.0,,
20,ACN,Accenture plc,2010-11-30,10-K,2012-10-30,,534714000.0,826935000.0,6478193000.0,,
15,ACN,Accenture plc,2010-08-31,10-K,2010-10-26,4838292000.0,445482000.0,713634000.0,5833073000.0,2835746000.0,12835253000.0
16,ACN,Accenture plc,2010-08-31,10-K,2011-10-21,4838292000.0,445482000.0,713634000.0,5833073000.0,2835746000.0,12835253000.0
17,ACN,Accenture plc,2010-08-31,10-K,2012-10-30,4838292000.0,1780656000.0,2914845000.0,23094078000.0,,
18,ACN,Accenture plc,2010-08-31,10-K,2013-10-29,4838292000.0,,,,,
13,ACN,Accenture plc,2010-05-31,10-K,2010-10-26,,490597000.0,803830000.0,5975495000.0,,
14,ACN,Accenture plc,2010-05-31,10-K,2011-10-21,,490597000.0,803830000.0,5975495000.0,,
11,ACN,Accenture plc,2010-02-28,10-K,2010-10-26,,399760000.0,650973000.0,5537823000.0,,
12,ACN,Accenture plc,2010-02-28,10-K,2011-10-21,,399760000.0,650973000.0,5537823000.0,,
9,ACN,Accenture plc,2009-11-30,10-K,2010-10-26,,444817000.0,746408000.0,5747687000.0,,
10,ACN,Accenture plc,2009-11-30,10-K,2011-10-21,,444817000.0,746408000.0,5747687000.0,,
6,ACN,Accenture plc,2009-08-31,10-K,2010-10-26,4541662000.0,254692000.0,419586000.0,5505449000.0,2835221000.0,12255734000.0
7,ACN,Accenture plc,2009-08-31,10-K,2011-10-21,4541662000.0,1589963000.0,2643865000.0,23170968000.0,,
8,ACN,Accenture plc,2009-08-31,10-K,2012-10-30,4541662000.0,,,,,
5,ACN,Accenture plc,2009-05-31,10-K,2010-10-26,,443969000.0,732040000.0,5537348000.0,,
4,ACN,Accenture plc,2009-02-28,10-K,2010-10-26,,411436000.0,677467000.0,5657563000.0,,
3,ACN,Accenture plc,2008-11-30,10-K,2010-10-26,,479866000.0,814772000.0,6470608000.0,,
1,ACN,Accenture plc,2008-08-31,10-K,2010-10-26,3602760000.0,1691751000.0,3011582000.0,25313826000.0,,
2,ACN,Accenture plc,2008-08-31,10-K,2011-10-21,3602760000.0,,,,,
0,ACN,Accenture plc,2007-08-31,10-K,2010-10-26,3314396000.0,,,,,
