,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
18,ADI,"Analog Devices, Inc.",2010-07-31,10-K,2010-11-22,,,251145000.0,,,,,
19,ADI,"Analog Devices, Inc.",2010-07-31,10-K,2011-11-22,,,251145000.0,,,,,
16,ADI,"Analog Devices, Inc.",2010-05-01,10-K,2010-11-22,,,214075000.0,,,,,
17,ADI,"Analog Devices, Inc.",2010-05-01,10-K,2011-11-22,,,214075000.0,,,,,
14,ADI,"Analog Devices, Inc.",2010-01-30,10-K,2010-11-22,,,149114000.0,,,,,
15,ADI,"Analog Devices, Inc.",2010-01-30,10-K,2011-11-22,,,149114000.0,,,,,
9,ADI,"Analog Devices, Inc.",2009-10-31,10-K,2009-11-24,639729000.0,,284817000.0,,,291861767.0,2529149000.0,3404294000.0
10,ADI,"Analog Devices, Inc.",2009-10-31,10-K,2010-11-22,639729000.0,,128372000.0,,,291861767.0,2529149000.0,3369407000.0
11,ADI,"Analog Devices, Inc.",2009-10-31,10-K,2011-11-22,639729000.0,247772000.0,284817000.0,,,,,
12,ADI,"Analog Devices, Inc.",2009-10-31,10-K,2012-11-27,639729000.0,,,,,,,
13,ADI,"Analog Devices, Inc.",2009-10-31,10-K,2013-11-26,1070000000.0,,,,,,,
8,ADI,"Analog Devices, Inc.",2009-08-01,10-K,2010-11-22,,,78945000.0,,,,,
7,ADI,"Analog Devices, Inc.",2009-05-02,10-K,2010-11-22,,,57909000.0,,,,,
6,ADI,"Analog Devices, Inc.",2009-01-31,10-K,2010-11-22,,,19591000.0,,,,,
3,ADI,"Analog Devices, Inc.",2008-11-01,10-K,2009-11-24,593599000.0,,625025000.0,,,291193451.0,2420263000.0,3090992000.0
4,ADI,"Analog Devices, Inc.",2008-11-01,10-K,2010-11-22,593599000.0,,625025000.0,,,,,
5,ADI,"Analog Devices, Inc.",2008-11-01,10-K,2011-11-22,593599000.0,,,,,,,
1,ADI,"Analog Devices, Inc.",2007-11-03,10-K,2009-11-24,424972000.0,,568723000.0,,,,,
2,ADI,"Analog Devices, Inc.",2007-11-03,10-K,2010-11-22,424972000.0,,,,,,,
0,ADI,"Analog Devices, Inc.",2006-10-28,10-K,2009-11-24,343947000.0,,,,,,,
