,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
56,LYV,"LIVE NATION ENTERTAINMENT, INC.",2015-12-31,10-K,2017-02-23,1303125000.0,,-78334000.0,-40448000.0,1736725000.0,202483207.0,1236953000.0,6156241000.0
57,LYV,"LIVE NATION ENTERTAINMENT, INC.",2015-12-31,10-K,2018-02-27,1303125000.0,,-32508000.0,131372000.0,7245731000.0,,,
53,LYV,"LIVE NATION ENTERTAINMENT, INC.",2015-09-30,10-K,2016-02-25,,,89049000.0,153510000.0,2622917000.0,,,
54,LYV,"LIVE NATION ENTERTAINMENT, INC.",2015-09-30,10-K,2017-02-23,,,89049000.0,153510000.0,2622917000.0,,,
51,LYV,"LIVE NATION ENTERTAINMENT, INC.",2015-06-30,10-K,2016-02-25,,,15056000.0,42245000.0,1765777000.0,,,
52,LYV,"LIVE NATION ENTERTAINMENT, INC.",2015-06-30,10-K,2017-02-23,,,15056000.0,42245000.0,1765777000.0,,,
49,LYV,"LIVE NATION ENTERTAINMENT, INC.",2015-03-31,10-K,2016-02-25,,,-58279000.0,-23935000.0,1120312000.0,,,
50,LYV,"LIVE NATION ENTERTAINMENT, INC.",2015-03-31,10-K,2017-02-23,,,-58279000.0,-23935000.0,1120312000.0,,,
45,LYV,"LIVE NATION ENTERTAINMENT, INC.",2014-12-31,10-K,2015-02-26,1382029000.0,,-186456000.0,-186818000.0,1571855000.0,201193835.0,1296954000.0,5988361000.0
46,LYV,"LIVE NATION ENTERTAINMENT, INC.",2014-12-31,10-K,2016-02-25,1382029000.0,,-186456000.0,-186818000.0,1571855000.0,201193835.0,1296954000.0,5968361000.0
47,LYV,"LIVE NATION ENTERTAINMENT, INC.",2014-12-31,10-K,2017-02-23,1382029000.0,,-90807000.0,7164000.0,6866964000.0,,,
48,LYV,"LIVE NATION ENTERTAINMENT, INC.",2014-12-31,10-K,2018-02-27,1382029000.0,,,,,,,
43,LYV,"LIVE NATION ENTERTAINMENT, INC.",2014-09-30,10-K,2015-02-26,,,105163000.0,150604000.0,2502008000.0,,,
44,LYV,"LIVE NATION ENTERTAINMENT, INC.",2014-09-30,10-K,2016-02-25,,,105163000.0,150604000.0,2502008000.0,,,
41,LYV,"LIVE NATION ENTERTAINMENT, INC.",2014-06-30,10-K,2015-02-26,,,22934000.0,55686000.0,1665785000.0,,,
42,LYV,"LIVE NATION ENTERTAINMENT, INC.",2014-06-30,10-K,2016-02-25,,,22934000.0,55686000.0,1665785000.0,,,
39,LYV,"LIVE NATION ENTERTAINMENT, INC.",2014-03-31,10-K,2015-02-26,,,-32448000.0,-12308000.0,1127316000.0,,,
