,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
69,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2015-09-30,10-K,2015-11-24,206400000.0,4384700000.0,344500000.0,472200000.0,,215359113.0,7249000000.0,17438100000.0,10057000000.0
70,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2015-09-30,10-K,2016-11-21,206400000.0,4384700000.0,344500000.0,474300000.0,,215359113.0,7249000000.0,17334500000.0,9953400000.0
71,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2015-09-30,10-K,2017-11-16,183100000.0,,1277900000.0,1233200000.0,,215359113.0,,17316600000.0,
72,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2015-09-30,10-K,2018-11-20,,,,,,215359113.0,,,
67,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2015-06-30,10-K,2015-11-24,,,318800000.0,422500000.0,,,,,
68,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2015-06-30,10-K,2016-11-21,,,318800000.0,424800000.0,,,,,
65,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2015-03-31,10-K,2015-11-24,,,290000000.0,374400000.0,,,,,
66,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2015-03-31,10-K,2016-11-21,,,290000000.0,376900000.0,,,,,
63,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2014-12-31,10-K,2015-11-24,,,324600000.0,430000000.0,,,,,
64,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2014-12-31,10-K,2016-11-21,,,324600000.0,432300000.0,,,,,
59,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2014-09-30,10-K,2014-11-24,336600000.0,4889800000.0,104000000.0,144100000.0,,213538144.0,7365800000.0,17779100000.0,9970500000.0
60,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2014-09-30,10-K,2015-11-24,336600000.0,4889800000.0,104000000.0,144100000.0,,213538144.0,7365800000.0,17779100000.0,9970500000.0
61,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2014-09-30,10-K,2016-11-21,336600000.0,,991700000.0,1339100000.0,,213538144.0,,17668300000.0,
62,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2014-09-30,10-K,2017-11-16,,,,,,213538144.0,,,
57,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2014-06-30,10-K,2014-11-24,,,314000000.0,413800000.0,,,,,
58,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2014-06-30,10-K,2015-11-24,,,314000000.0,413800000.0,,,,,
55,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2014-03-31,10-K,2014-11-24,,,283500000.0,384700000.0,,,,,
56,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2014-03-31,10-K,2015-11-24,,,283500000.0,384700000.0,,,,,
53,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2013-12-31,10-K,2014-11-24,,,290200000.0,385600000.0,,,,,
54,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2013-12-31,10-K,2015-11-24,,,290200000.0,385600000.0,,,,,
49,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2013-09-30,10-K,2013-11-26,450400000.0,5563700000.0,137100000.0,179200000.0,,211179257.0,7042100000.0,17850100000.0,10275400000.0
50,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2013-09-30,10-K,2014-11-24,450400000.0,5563700000.0,137100000.0,179200000.0,,211179257.0,7042100000.0,17850100000.0,10275400000.0
51,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2013-09-30,10-K,2015-11-24,450400000.0,,994200000.0,1324400000.0,,211179257.0,,,
52,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2013-09-30,10-K,2016-11-21,,,,,,211179257.0,,,
47,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2013-06-30,10-K,2013-11-26,,,288400000.0,383100000.0,,,,,
48,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2013-06-30,10-K,2014-11-24,,,288400000.0,383100000.0,,,,,
45,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2013-03-31,10-K,2013-11-26,,,290400000.0,389700000.0,,,,,
46,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2013-03-31,10-K,2014-11-24,,,290400000.0,389700000.0,,,,,
43,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2012-12-31,10-K,2013-11-26,,,278300000.0,372400000.0,,,,,
44,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2012-12-31,10-K,2014-11-24,,,278300000.0,372400000.0,,,,,
39,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2012-09-30,10-K,2012-11-20,454400000.0,4658500000.0,138700000.0,157900000.0,,212475880.0,6477200000.0,16941800000.0,9926000000.0
40,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2012-09-30,10-K,2013-11-26,454400000.0,4658500000.0,138700000.0,157900000.0,,212475880.0,6477200000.0,16941800000.0,9926000000.0
41,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2012-09-30,10-K,2014-11-24,454400000.0,,1167300000.0,1282400000.0,,212475880.0,,16941800000.0,
42,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2012-09-30,10-K,2015-11-24,,,,,,212475880.0,,,
37,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2012-06-30,10-K,2012-11-20,,,484500000.0,482800000.0,,,,,
38,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2012-06-30,10-K,2013-11-26,,,484500000.0,482800000.0,,,,,
35,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2012-03-31,10-K,2012-11-20,,,296000000.0,287900000.0,,,,,
36,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2012-03-31,10-K,2013-11-26,,,296000000.0,287900000.0,,,,,
33,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2011-12-31,10-K,2012-11-20,,,248100000.0,353800000.0,,,,,
34,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2011-12-31,10-K,2013-11-26,,,248100000.0,353800000.0,,,,,
29,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2011-09-30,10-K,2011-11-22,422500000.0,3999700000.0,324800000.0,425300000.0,,210185256.0,5795800000.0,14290700000.0,8352000000.0
30,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2011-09-30,10-K,2012-11-20,421400000.0,3999700000.0,324800000.0,395400000.0,,210185256.0,5795800000.0,14290700000.0,8352000000.0
31,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2011-09-30,10-K,2013-11-26,421400000.0,,1224200000.0,1508100000.0,,210185256.0,,14290700000.0,
32,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2011-09-30,10-K,2014-11-24,,,,,,210185256.0,,,
27,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2011-06-30,10-K,2011-11-22,,,326500000.0,416800000.0,,,,,
28,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2011-06-30,10-K,2012-11-20,,,326500000.0,387700000.0,,,,,
25,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2011-03-31,10-K,2011-11-22,,,304300000.0,419500000.0,,,,,
26,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2011-03-31,10-K,2012-11-20,,,304300000.0,393800000.0,,,,,
23,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2010-12-31,10-K,2011-11-22,,,268600000.0,360600000.0,,,,,
24,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2010-12-31,10-K,2012-11-20,,,268600000.0,331200000.0,,,,,
19,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2010-09-30,10-K,2010-11-23,374300000.0,3842300000.0,272100000.0,367000000.0,,,5546900000.0,13505900000.0,7808300000.0
20,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2010-09-30,10-K,2011-11-22,374300000.0,3842300000.0,272100000.0,367000000.0,,213802865.0,5546900000.0,13505900000.0,7808300000.0
21,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2010-09-30,10-K,2012-11-20,373700000.0,,1029100000.0,1267700000.0,,213802865.0,,13505900000.0,
22,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2010-09-30,10-K,2013-11-26,,,,,,213802865.0,,,
17,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2010-06-30,10-K,2010-11-23,,,253200000.0,336400000.0,,,,,
18,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2010-06-30,10-K,2011-11-22,,,253200000.0,336400000.0,,,,,
15,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2010-03-31,10-K,2010-11-23,,,252000000.0,340600000.0,,,,,
16,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2010-03-31,10-K,2011-11-22,,,252000000.0,340600000.0,,,,,
13,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2009-12-31,10-K,2010-11-23,,,251800000.0,345000000.0,,,,,
14,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2009-12-31,10-K,2011-11-22,,,251800000.0,345000000.0,,,,,
9,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2009-09-30,10-K,2009-11-25,488200000.0,,631300000.0,846300000.0,,,4791900000.0,13029100000.0,8099100000.0
10,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2009-09-30,10-K,2010-11-23,488200000.0,4167700000.0,243900000.0,328000000.0,,,4791900000.0,13029100000.0,8099100000.0
11,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2009-09-30,10-K,2011-11-22,488200000.0,,631300000.0,846300000.0,,211260264.0,,13029100000.0,
12,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2009-09-30,10-K,2012-11-20,,,,,,211260264.0,,,
8,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2009-06-30,10-K,2010-11-23,,,113200000.0,143800000.0,,,,,
7,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2009-03-31,10-K,2010-11-23,,,205600000.0,260400000.0,,,,,
6,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2008-12-31,10-K,2010-11-23,,,68600000.0,114100000.0,,,,,
3,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2008-09-30,10-K,2009-11-25,103500000.0,,909700000.0,1495800000.0,,,5030700000.0,12571300000.0,7404400000.0
4,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2008-09-30,10-K,2010-11-23,103500000.0,,909700000.0,1495800000.0,,,5030700000.0,12571300000.0,
5,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2008-09-30,10-K,2011-11-22,103500000.0,,,,,209334627.0,,,
1,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2007-09-30,10-K,2009-11-25,40500000.0,,1035600000.0,1375600000.0,,,5495600000.0,,
2,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2007-09-30,10-K,2010-11-23,40500000.0,,,,,,,,
0,APD,"AIR PRODUCTS AND CHEMICALS, INC.",2006-09-30,10-K,2009-11-25,31000000.0,,,,,,4924000000.0,,
