,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
22,EOG,"EOG RESOURCES, INC.",2012-12-31,10-K,2014-02-24,876435000.0,-504999000.0,-378061000.0,3011811000.0,,,27336578000.0
23,EOG,"EOG RESOURCES, INC.",2012-12-31,10-K,2015-02-18,876435000.0,570279000.0,1479797000.0,11682636000.0,,,27336578000.0
24,EOG,"EOG RESOURCES, INC.",2012-12-31,10-K,2016-02-25,876435000.0,,,,,,
20,EOG,"EOG RESOURCES, INC.",2012-09-30,10-K,2014-02-24,,355491000.0,605747000.0,2954855000.0,,,
19,EOG,"EOG RESOURCES, INC.",2012-06-30,10-K,2014-02-24,,395778000.0,692339000.0,2909319000.0,,,
18,EOG,"EOG RESOURCES, INC.",2012-03-31,10-K,2014-02-24,,324009000.0,559772000.0,2806651000.0,,,
14,EOG,"EOG RESOURCES, INC.",2011-12-31,10-K,2012-02-24,615726000.0,1091123000.0,2113309000.0,10126115000.0,269019000.0,,24838797000.0
15,EOG,"EOG RESOURCES, INC.",2011-12-31,10-K,2013-02-22,615726000.0,1091123000.0,2113309000.0,10126115000.0,269019000.0,,24838797000.0
16,EOG,"EOG RESOURCES, INC.",2011-12-31,10-K,2014-02-24,615726000.0,1091123000.0,2113309000.0,10126115000.0,,,24838797000.0
17,EOG,"EOG RESOURCES, INC.",2011-12-31,10-K,2015-02-18,615726000.0,,,,,,
10,EOG,"EOG RESOURCES, INC.",2010-12-31,10-K,2011-02-24,788853000.0,160654000.0,523319000.0,6099896000.0,254077000.0,,21624233000.0
11,EOG,"EOG RESOURCES, INC.",2010-12-31,10-K,2012-02-24,788853000.0,160654000.0,523319000.0,6099896000.0,254077000.0,,21624233000.0
12,EOG,"EOG RESOURCES, INC.",2010-12-31,10-K,2013-02-22,788853000.0,160654000.0,523319000.0,6099896000.0,254077000.0,,21624233000.0
13,EOG,"EOG RESOURCES, INC.",2010-12-31,10-K,2014-02-24,788853000.0,,,,,,
6,EOG,"EOG RESOURCES, INC.",2009-12-31,10-K,2010-02-25,685751000.0,546627000.0,970841000.0,4786959000.0,,,18118667000.0
7,EOG,"EOG RESOURCES, INC.",2009-12-31,10-K,2011-02-24,685751000.0,546627000.0,970841000.0,4786959000.0,252509000.0,,18118667000.0
8,EOG,"EOG RESOURCES, INC.",2009-12-31,10-K,2012-02-24,685751000.0,546627000.0,970841000.0,4786959000.0,252509000.0,,18118667000.0
9,EOG,"EOG RESOURCES, INC.",2009-12-31,10-K,2013-02-22,685751000.0,,,,252509000.0,,
3,EOG,"EOG RESOURCES, INC.",2008-12-31,10-K,2010-02-25,331311000.0,2436919000.0,3767185000.0,7127143000.0,,,15951226000.0
4,EOG,"EOG RESOURCES, INC.",2008-12-31,10-K,2011-02-24,331311000.0,2436919000.0,3767185000.0,7127143000.0,249632000.0,,15951226000.0
5,EOG,"EOG RESOURCES, INC.",2008-12-31,10-K,2012-02-24,331311000.0,,,,249632000.0,,
1,EOG,"EOG RESOURCES, INC.",2007-12-31,10-K,2010-02-25,54231000.0,1089918000.0,1648396000.0,4239303000.0,,,
2,EOG,"EOG RESOURCES, INC.",2007-12-31,10-K,2011-02-24,54231000.0,,,,246525000.0,,
0,EOG,"EOG RESOURCES, INC.",2006-12-31,10-K,2010-02-25,218255000.0,,,,,,
