,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
33,CMCSA,Comcast Corporation,2012-03-31,10-K,2013-02-21,,1224000000.0,2758000000.0,14878000000.0,,,
34,CMCSA,Comcast Corporation,2012-03-31,10-K,2014-02-12,,1224000000.0,2758000000.0,14878000000.0,,,
29,CMCSA,Comcast Corporation,2011-12-31,10-K,2012-02-23,1620000000.0,1287000000.0,2918000000.0,15042000000.0,,47274000000.0,157818000000.0
30,CMCSA,Comcast Corporation,2011-12-31,10-K,2013-02-21,1620000000.0,1287000000.0,2918000000.0,15042000000.0,,47274000000.0,157818000000.0
31,CMCSA,Comcast Corporation,2011-12-31,10-K,2014-02-12,1620000000.0,4160000000.0,10721000000.0,55842000000.0,,,
32,CMCSA,Comcast Corporation,2011-12-31,10-K,2015-02-27,1620000000.0,,,,,,
27,CMCSA,Comcast Corporation,2011-09-30,10-K,2012-02-23,,908000000.0,2641000000.0,14339000000.0,,,
28,CMCSA,Comcast Corporation,2011-09-30,10-K,2013-02-21,,908000000.0,2641000000.0,14339000000.0,,,
25,CMCSA,Comcast Corporation,2011-06-30,10-K,2012-02-23,,1022000000.0,2938000000.0,14333000000.0,,,
26,CMCSA,Comcast Corporation,2011-06-30,10-K,2013-02-21,,1022000000.0,2938000000.0,14333000000.0,,,
23,CMCSA,Comcast Corporation,2011-03-31,10-K,2012-02-23,,943000000.0,2224000000.0,12128000000.0,,,
24,CMCSA,Comcast Corporation,2011-03-31,10-K,2013-02-21,,943000000.0,2224000000.0,12128000000.0,,,
19,CMCSA,Comcast Corporation,2010-12-31,10-K,2011-02-25,5984000000.0,1018000000.0,2013000000.0,9721000000.0,,44354000000.0,118534000000.0
20,CMCSA,Comcast Corporation,2010-12-31,10-K,2012-02-23,5984000000.0,1018000000.0,2013000000.0,9721000000.0,,44354000000.0,118534000000.0
21,CMCSA,Comcast Corporation,2010-12-31,10-K,2013-02-21,5984000000.0,3635000000.0,7980000000.0,37937000000.0,,,
22,CMCSA,Comcast Corporation,2010-12-31,10-K,2014-02-12,5984000000.0,,,,,,
17,CMCSA,Comcast Corporation,2010-09-30,10-K,2011-02-25,,867000000.0,1954000000.0,9489000000.0,,,
18,CMCSA,Comcast Corporation,2010-09-30,10-K,2012-02-23,,867000000.0,1954000000.0,9489000000.0,,,
15,CMCSA,Comcast Corporation,2010-06-30,10-K,2011-02-25,,884000000.0,2078000000.0,9525000000.0,,,
16,CMCSA,Comcast Corporation,2010-06-30,10-K,2012-02-23,,884000000.0,2078000000.0,9525000000.0,,,
13,CMCSA,Comcast Corporation,2010-03-31,10-K,2011-02-25,,866000000.0,1935000000.0,9202000000.0,,,
14,CMCSA,Comcast Corporation,2010-03-31,10-K,2012-02-23,,866000000.0,1935000000.0,9202000000.0,,,
9,CMCSA,Comcast Corporation,2009-12-31,10-K,2010-02-23,671000000.0,3638000000.0,7214000000.0,35756000000.0,,42721000000.0,112733000000.0
10,CMCSA,Comcast Corporation,2009-12-31,10-K,2011-02-25,671000000.0,955000000.0,1817000000.0,9067000000.0,,42721000000.0,112733000000.0
11,CMCSA,Comcast Corporation,2009-12-31,10-K,2012-02-23,671000000.0,3638000000.0,7214000000.0,35756000000.0,,,
12,CMCSA,Comcast Corporation,2009-12-31,10-K,2013-02-21,671000000.0,,,,,,
8,CMCSA,Comcast Corporation,2009-09-30,10-K,2011-02-25,,944000000.0,1711000000.0,8845000000.0,,,
7,CMCSA,Comcast Corporation,2009-06-30,10-K,2011-02-25,,967000000.0,1875000000.0,8978000000.0,,,
6,CMCSA,Comcast Corporation,2009-03-31,10-K,2011-02-25,,772000000.0,1811000000.0,8866000000.0,,,
3,CMCSA,Comcast Corporation,2008-12-31,10-K,2010-02-23,1195000000.0,2547000000.0,6732000000.0,34423000000.0,,40450000000.0,113017000000.0
4,CMCSA,Comcast Corporation,2008-12-31,10-K,2011-02-25,1195000000.0,2547000000.0,6732000000.0,34423000000.0,,,
5,CMCSA,Comcast Corporation,2008-12-31,10-K,2012-02-23,1195000000.0,,,,,,
1,CMCSA,Comcast Corporation,2007-12-31,10-K,2010-02-23,963000000.0,2587000000.0,5578000000.0,31060000000.0,,,
2,CMCSA,Comcast Corporation,2007-12-31,10-K,2011-02-25,963000000.0,,,,,,
0,CMCSA,Comcast Corporation,2006-12-31,10-K,2010-02-23,1239000000.0,,,,,,
