,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
37,CAG,"Conagra Brands, Inc.",2013-02-24,10-K,2013-07-19,,,120000000.0,,,,,,
38,CAG,"Conagra Brands, Inc.",2013-02-24,10-K,2014-07-16,,,120000000.0,,,,,,
35,CAG,"Conagra Brands, Inc.",2012-11-25,10-K,2013-07-19,,,211600000.0,,,,,,
36,CAG,"Conagra Brands, Inc.",2012-11-25,10-K,2014-07-16,,,211600000.0,,,,,,
33,CAG,"Conagra Brands, Inc.",2012-08-26,10-K,2013-07-19,,,250100000.0,,,,,,
34,CAG,"Conagra Brands, Inc.",2012-08-26,10-K,2014-07-16,,,250100000.0,,,,,,
29,CAG,"Conagra Brands, Inc.",2012-05-27,10-K,2012-07-20,103000000.0,2900000000.0,-86200000.0,1599600000.0,,,4439500000.0,11441900000.0,6905900000.0
30,CAG,"Conagra Brands, Inc.",2012-05-27,10-K,2013-07-19,103000000.0,2900000000.0,-86200000.0,1599600000.0,,,4439500000.0,11441900000.0,6905900000.0
31,CAG,"Conagra Brands, Inc.",2012-05-27,10-K,2014-07-16,103000000.0,,467900000.0,1589100000.0,1600000000.0,,,11441900000.0,
32,CAG,"Conagra Brands, Inc.",2012-05-27,10-K,2015-07-17,85900000.0,,,,,,,,
27,CAG,"Conagra Brands, Inc.",2012-02-26,10-K,2012-07-20,,,280100000.0,,,,,,
28,CAG,"Conagra Brands, Inc.",2012-02-26,10-K,2013-07-19,,,280100000.0,,,,,,
25,CAG,"Conagra Brands, Inc.",2011-11-27,10-K,2012-07-20,,,180200000.0,,,,,,
26,CAG,"Conagra Brands, Inc.",2011-11-27,10-K,2013-07-19,,,180200000.0,,,,,,
23,CAG,"Conagra Brands, Inc.",2011-08-28,10-K,2012-07-20,,,93800000.0,,,,,,
24,CAG,"Conagra Brands, Inc.",2011-08-28,10-K,2013-07-19,,,93800000.0,,,,,,
19,CAG,"Conagra Brands, Inc.",2011-05-29,10-K,2011-07-19,972400000.0,3200000000.0,254900000.0,1648900000.0,,,4701500000.0,11408700000.0,6700200000.0
20,CAG,"Conagra Brands, Inc.",2011-05-29,10-K,2012-07-20,972400000.0,3200000000.0,250100000.0,1635900000.0,,,4669700000.0,11408700000.0,6732000000.0
21,CAG,"Conagra Brands, Inc.",2011-05-29,10-K,2013-07-19,972400000.0,,817600000.0,1635900000.0,,,,11408700000.0,
22,CAG,"Conagra Brands, Inc.",2011-05-29,10-K,2014-07-16,972400000.0,,,,,,,,
17,CAG,"Conagra Brands, Inc.",2011-02-27,10-K,2011-07-19,,,214800000.0,,,,,,
18,CAG,"Conagra Brands, Inc.",2011-02-27,10-K,2012-07-20,,,216600000.0,,,,,,
15,CAG,"Conagra Brands, Inc.",2010-11-28,10-K,2011-07-19,,,200900000.0,,,,,,
16,CAG,"Conagra Brands, Inc.",2010-11-28,10-K,2012-07-20,,,202700000.0,,,,,,
13,CAG,"Conagra Brands, Inc.",2010-08-29,10-K,2011-07-19,,,146400000.0,,,,,,
14,CAG,"Conagra Brands, Inc.",2010-08-29,10-K,2012-07-20,,,148200000.0,,,,,,
9,CAG,"Conagra Brands, Inc.",2010-05-30,10-K,2010-07-22,953200000.0,,725800000.0,,,,4923900000.0,11738000000.0,6809100000.0
10,CAG,"Conagra Brands, Inc.",2010-05-30,10-K,2011-07-19,953200000.0,3500000000.0,90600000.0,1648200000.0,,,4923900000.0,11738000000.0,6809100000.0
11,CAG,"Conagra Brands, Inc.",2010-05-30,10-K,2012-07-20,953200000.0,,613500000.0,1605100000.0,,,,11738000000.0,
12,CAG,"Conagra Brands, Inc.",2010-05-30,10-K,2013-07-19,953200000.0,,,,,,,,
8,CAG,"Conagra Brands, Inc.",2010-02-27,10-K,2011-07-19,,,229600000.0,,,,,,
7,CAG,"Conagra Brands, Inc.",2009-11-29,10-K,2011-07-19,,,239700000.0,,,,,,
6,CAG,"Conagra Brands, Inc.",2009-08-30,10-K,2011-07-19,,,165900000.0,,,,,,
3,CAG,"Conagra Brands, Inc.",2009-05-31,10-K,2010-07-22,243200000.0,,978400000.0,,,,4720900000.0,11073300000.0,6352400000.0
4,CAG,"Conagra Brands, Inc.",2009-05-31,10-K,2011-07-19,243200000.0,,978400000.0,1487900000.0,,,,11073300000.0,
5,CAG,"Conagra Brands, Inc.",2009-05-31,10-K,2012-07-20,243200000.0,,,,,,,,
1,CAG,"Conagra Brands, Inc.",2008-05-25,10-K,2010-07-22,140900000.0,,930600000.0,,,,,,
2,CAG,"Conagra Brands, Inc.",2008-05-25,10-K,2011-07-19,140900000.0,,,,,,,,
0,CAG,"Conagra Brands, Inc.",2007-05-27,10-K,2010-07-22,730800000.0,,,,,,,,
