,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
66,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2015-09-30,10-K,2016-02-24,,,,960200000.0,4431400000.0,,,,
67,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2015-09-30,10-K,2017-02-28,,,,960200000.0,4431400000.0,,,,
64,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2015-06-30,10-K,2016-02-24,,,,804100000.0,3826700000.0,,,,
65,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2015-06-30,10-K,2017-02-28,,,,804100000.0,3826700000.0,,,,
62,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2015-03-31,10-K,2016-02-24,,,,1102800000.0,4580400000.0,,,,
63,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2015-03-31,10-K,2017-02-28,,,,1102800000.0,4580400000.0,,,,
59,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2014-12-31,10-K,2015-02-20,163000000.0,18684000000.0,,499000000.0,4026000000.0,,16820000000.0,59633000000.0,42809000000.0
60,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2014-12-31,10-K,2016-02-24,162500000.0,18512400000.0,,429500000.0,3819100000.0,,16820200000.0,59544600000.0,42720100000.0
61,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2014-12-31,10-K,2017-02-28,162500000.0,,,3127400000.0,16378600000.0,,,59544600000.0,
57,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2014-09-30,10-K,2015-02-20,,,,925000000.0,4302000000.0,,,,
58,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2014-09-30,10-K,2016-02-24,,,,904900000.0,4161400000.0,,,,
55,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2014-06-30,10-K,2015-02-20,,,,767000000.0,4044000000.0,,,,
56,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2014-06-30,10-K,2016-02-24,,,,760700000.0,3900600000.0,,,,
53,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2014-03-31,10-K,2015-02-20,,,,1041000000.0,4648000000.0,,,,
