,ticker,company,end_date,form,filed,cash,eps_basic,eps_diluted,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
66,AME,"AMETEK, Inc.",2015-06-30,10-K,2016-02-25,,,,,155513000.0,240319000.0,,,,,
67,AME,"AMETEK, Inc.",2015-06-30,10-K,2017-02-23,,,,,155513000.0,240319000.0,,,,,
64,AME,"AMETEK, Inc.",2015-03-31,10-K,2016-02-25,,,,,142107000.0,220952000.0,,,,,
65,AME,"AMETEK, Inc.",2015-03-31,10-K,2017-02-23,,,,,142107000.0,220952000.0,,,,,
60,AME,"AMETEK, Inc.",2014-12-31,10-K,2015-02-24,377615000.0,,,1714026000.0,152000000.0,227084000.0,,241300000.0,3239561000.0,6420963000.0,3181402000.0
61,AME,"AMETEK, Inc.",2014-12-31,10-K,2016-02-25,377615000.0,,,1714026000.0,152000000.0,227084000.0,,241300000.0,3239561000.0,6420963000.0,3181402000.0
62,AME,"AMETEK, Inc.",2014-12-31,10-K,2017-02-23,377615000.0,,,,584460000.0,898586000.0,,,3239561000.0,,
63,AME,"AMETEK, Inc.",2014-12-31,10-K,2018-02-22,377615000.0,,,,,,,,,,
58,AME,"AMETEK, Inc.",2014-09-30,10-K,2015-02-24,,,,,141811000.0,218143000.0,,,,,
59,AME,"AMETEK, Inc.",2014-09-30,10-K,2016-02-25,,,,,141811000.0,218143000.0,,,,,
56,AME,"AMETEK, Inc.",2014-06-30,10-K,2015-02-24,,,,,150063000.0,231728000.0,,,,,
57,AME,"AMETEK, Inc.",2014-06-30,10-K,2016-02-25,,,,,150063000.0,231728000.0,,,,,
54,AME,"AMETEK, Inc.",2014-03-31,10-K,2015-02-24,,,,,140586000.0,221631000.0,,,,,
55,AME,"AMETEK, Inc.",2014-03-31,10-K,2016-02-25,,,,,140586000.0,221631000.0,,,,,
50,AME,"AMETEK, Inc.",2013-12-31,10-K,2014-02-26,295203000.0,,,1415065000.0,135668000.0,210545000.0,,245000000.0,3136121000.0,5877902000.0,2741781000.0
51,AME,"AMETEK, Inc.",2013-12-31,10-K,2015-02-24,295203000.0,,,1415065000.0,135668000.0,210545000.0,,245000000.0,3136121000.0,5877902000.0,2741781000.0
52,AME,"AMETEK, Inc.",2013-12-31,10-K,2016-02-25,295203000.0,,,,516999000.0,815079000.0,,,3136121000.0,,
53,AME,"AMETEK, Inc.",2013-12-31,10-K,2017-02-23,295203000.0,,,,,,,,,,
48,AME,"AMETEK, Inc.",2013-09-30,10-K,2014-02-26,,,,,127864000.0,204686000.0,,,,,
49,AME,"AMETEK, Inc.",2013-09-30,10-K,2015-02-24,,,,,127864000.0,204686000.0,,,,,
46,AME,"AMETEK, Inc.",2013-06-30,10-K,2014-02-26,,,,,128321000.0,202613000.0,,,,,
47,AME,"AMETEK, Inc.",2013-06-30,10-K,2015-02-24,,,,,128321000.0,202613000.0,,,,,
44,AME,"AMETEK, Inc.",2013-03-31,10-K,2014-02-26,,,,,125146000.0,197235000.0,,,,,
45,AME,"AMETEK, Inc.",2013-03-31,10-K,2015-02-24,,,,,125146000.0,197235000.0,,,,,
40,AME,"AMETEK, Inc.",2012-12-31,10-K,2013-02-21,157984000.0,,,1453775000.0,119898000.0,189954000.0,,243400000.0,2535151000.0,5190056000.0,2654905000.0
41,AME,"AMETEK, Inc.",2012-12-31,10-K,2014-02-26,157984000.0,,,1453775000.0,119898000.0,189954000.0,,243400000.0,2535151000.0,5190056000.0,2654905000.0
42,AME,"AMETEK, Inc.",2012-12-31,10-K,2015-02-24,157984000.0,,,,459132000.0,745872000.0,,,2535151000.0,,
43,AME,"AMETEK, Inc.",2012-12-31,10-K,2016-02-25,157984000.0,,,,,,,,,,
38,AME,"AMETEK, Inc.",2012-09-30,10-K,2013-02-21,,,,,115397000.0,188164000.0,,,,,
39,AME,"AMETEK, Inc.",2012-09-30,10-K,2014-02-26,,,,,115397000.0,188164000.0,,,,,
36,AME,"AMETEK, Inc.",2012-06-30,10-K,2013-02-21,,,,,113687000.0,184978000.0,,,,,
37,AME,"AMETEK, Inc.",2012-06-30,10-K,2014-02-26,,,,,113687000.0,184978000.0,,,,,
34,AME,"AMETEK, Inc.",2012-03-31,10-K,2013-02-21,,,,,110150000.0,182776000.0,,,,,
35,AME,"AMETEK, Inc.",2012-03-31,10-K,2014-02-26,,,,,110150000.0,182776000.0,,,,,
30,AME,"AMETEK, Inc.",2011-12-31,10-K,2012-02-23,170392000.0,,,1263924000.0,101907000.0,167380000.0,,160400000.0,2052805000.0,4319490000.0,2266685000.0
31,AME,"AMETEK, Inc.",2011-12-31,10-K,2013-02-21,170392000.0,,,1263924000.0,101907000.0,167380000.0,,240600000.0,2052805000.0,4319490000.0,2266685000.0
32,AME,"AMETEK, Inc.",2011-12-31,10-K,2014-02-26,170392000.0,,,,384464000.0,635941000.0,,,2052805000.0,,
33,AME,"AMETEK, Inc.",2011-12-31,10-K,2015-02-24,170392000.0,,,,,,,,,,
28,AME,"AMETEK, Inc.",2011-09-30,10-K,2012-02-23,,,,,97978000.0,159586000.0,,,,,
29,AME,"AMETEK, Inc.",2011-09-30,10-K,2013-02-21,,,,,97978000.0,159586000.0,,,,,
26,AME,"AMETEK, Inc.",2011-06-30,10-K,2012-02-23,,,,,94144000.0,156955000.0,,,,,
27,AME,"AMETEK, Inc.",2011-06-30,10-K,2013-02-21,,,,,94144000.0,156955000.0,,,,,
24,AME,"AMETEK, Inc.",2011-03-31,10-K,2012-02-23,,,,,90435000.0,152020000.0,,,,,
25,AME,"AMETEK, Inc.",2011-03-31,10-K,2013-02-21,,,,,90435000.0,152020000.0,,,,,
20,AME,"AMETEK, Inc.",2010-12-31,10-K,2011-02-24,163208000.0,0.51,0.5,1168512000.0,81239000.0,135524000.0,,160700000.0,1775204000.0,3818915000.0,2043711000.0
21,AME,"AMETEK, Inc.",2010-12-31,10-K,2012-02-23,163208000.0,,,1168512000.0,81239000.0,135524000.0,,160700000.0,1775204000.0,3818915000.0,2043711000.0
22,AME,"AMETEK, Inc.",2010-12-31,10-K,2013-02-21,163208000.0,,,,283932000.0,482158000.0,,,1775204000.0,,
