,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
15,EXE,EXPAND ENERGY CORPORATION,2010-06-30,10-K,2011-03-01,,,255000000.0,,2012000000.0,,,,
16,EXE,EXPAND ENERGY CORPORATION,2010-06-30,10-K,2012-02-29,,,255000000.0,,2012000000.0,,,,
13,EXE,EXPAND ENERGY CORPORATION,2010-03-31,10-K,2011-03-01,,,738000000.0,,2798000000.0,,,,
14,EXE,EXPAND ENERGY CORPORATION,2010-03-31,10-K,2012-02-29,,,738000000.0,,2798000000.0,,,,
9,EXE,EXPAND ENERGY CORPORATION,2009-12-31,10-K,2010-03-01,307000000.0,,-5830000000.0,-8945000000.0,7702000000.0,,11444000000.0,29914000000.0,
10,EXE,EXPAND ENERGY CORPORATION,2009-12-31,10-K,2011-03-01,307000000.0,,-524000000.0,-8945000000.0,2222000000.0,,11444000000.0,29914000000.0,
11,EXE,EXPAND ENERGY CORPORATION,2009-12-31,10-K,2012-02-29,307000000.0,,-5830000000.0,-8945000000.0,7702000000.0,,,29914000000.0,
12,EXE,EXPAND ENERGY CORPORATION,2009-12-31,10-K,2013-03-01,307000000.0,,,,,,,,
8,EXE,EXPAND ENERGY CORPORATION,2009-09-30,10-K,2011-03-01,,,192000000.0,,1811000000.0,,,,
7,EXE,EXPAND ENERGY CORPORATION,2009-06-30,10-K,2011-03-01,,,243000000.0,,1673000000.0,,,,
6,EXE,EXPAND ENERGY CORPORATION,2009-03-31,10-K,2011-03-01,,,-5740000000.0,,1995000000.0,,,,
3,EXE,EXPAND ENERGY CORPORATION,2008-12-31,10-K,2010-03-01,1749000000.0,,604000000.0,1457000000.0,11629000000.0,,17017000000.0,38593000000.0,
4,EXE,EXPAND ENERGY CORPORATION,2008-12-31,10-K,2011-03-01,1749000000.0,,604000000.0,1457000000.0,11629000000.0,,,38593000000.0,
5,EXE,EXPAND ENERGY CORPORATION,2008-12-31,10-K,2012-02-29,1749000000.0,,,,,,,,
1,EXE,EXPAND ENERGY CORPORATION,2007-12-31,10-K,2010-03-01,1000000.0,,1455000000.0,2650000000.0,7800000000.0,,,,
2,EXE,EXPAND ENERGY CORPORATION,2007-12-31,10-K,2011-03-01,1000000.0,,,,,,,,
0,EXE,EXPAND ENERGY CORPORATION,2006-12-31,10-K,2010-03-01,3000000.0,,,,,,,,
