,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
19,CL,COLGATE-PALMOLIVE COMPANY,2010-12-31,10-K,2011-02-24,490000000.0,3376000000.0,624000000.0,3489000000.0,,,494850467.0,2675000000.0,11172000000.0,8355000000.0
20,CL,COLGATE-PALMOLIVE COMPANY,2010-12-31,10-K,2012-02-23,490000000.0,3376000000.0,624000000.0,3489000000.0,,,494850467.0,2675000000.0,11172000000.0,8355000000.0
21,CL,COLGATE-PALMOLIVE COMPANY,2010-12-31,10-K,2013-02-21,490000000.0,,2203000000.0,3489000000.0,,,494850467.0,,11172000000.0,
22,CL,COLGATE-PALMOLIVE COMPANY,2010-12-31,10-K,2014-02-20,490000000.0,,,,,,989700934.0,,,
17,CL,COLGATE-PALMOLIVE COMPANY,2010-09-30,10-K,2011-02-24,,,619000000.0,,,,,,,
18,CL,COLGATE-PALMOLIVE COMPANY,2010-09-30,10-K,2012-02-23,,,619000000.0,,,,,,,
15,CL,COLGATE-PALMOLIVE COMPANY,2010-06-30,10-K,2011-02-24,,,603000000.0,,,,,,,
16,CL,COLGATE-PALMOLIVE COMPANY,2010-06-30,10-K,2012-02-23,,,603000000.0,,,,,,,
13,CL,COLGATE-PALMOLIVE COMPANY,2010-03-31,10-K,2011-02-24,,,357000000.0,,,,,,,
14,CL,COLGATE-PALMOLIVE COMPANY,2010-03-31,10-K,2012-02-23,,,357000000.0,,,,,,,
9,CL,COLGATE-PALMOLIVE COMPANY,2009-12-31,10-K,2010-02-25,600000000.0,,2291000000.0,3615000000.0,,,,3116000000.0,11134000000.0,7877000000.0
10,CL,COLGATE-PALMOLIVE COMPANY,2009-12-31,10-K,2011-02-24,600000000.0,3147000000.0,631000000.0,3615000000.0,,,494165017.0,3116000000.0,11134000000.0,7877000000.0
11,CL,COLGATE-PALMOLIVE COMPANY,2009-12-31,10-K,2012-02-23,600000000.0,,2291000000.0,3615000000.0,,,494165017.0,,11134000000.0,
12,CL,COLGATE-PALMOLIVE COMPANY,2009-12-31,10-K,2013-02-21,600000000.0,,,,,,494165017.0,,,
8,CL,COLGATE-PALMOLIVE COMPANY,2009-09-30,10-K,2011-02-24,,,590000000.0,,,,,,,
7,CL,COLGATE-PALMOLIVE COMPANY,2009-06-30,10-K,2011-02-24,,,562000000.0,,,,,,,
6,CL,COLGATE-PALMOLIVE COMPANY,2009-03-31,10-K,2011-02-24,,,508000000.0,,,,,,,
3,CL,COLGATE-PALMOLIVE COMPANY,2008-12-31,10-K,2010-02-25,555000000.0,,1957000000.0,3101000000.0,,,,1923000000.0,9979000000.0,7935000000.0
4,CL,COLGATE-PALMOLIVE COMPANY,2008-12-31,10-K,2011-02-24,555000000.0,,1957000000.0,3101000000.0,,,501412580.0,,,
5,CL,COLGATE-PALMOLIVE COMPANY,2008-12-31,10-K,2012-02-23,555000000.0,,,,,,501412580.0,,,
1,CL,COLGATE-PALMOLIVE COMPANY,2007-12-31,10-K,2010-02-25,429000000.0,,1737000000.0,2720000000.0,,,,,,
2,CL,COLGATE-PALMOLIVE COMPANY,2007-12-31,10-K,2011-02-24,429000000.0,,,,,,509034801.0,,,
0,CL,COLGATE-PALMOLIVE COMPANY,2006-12-31,10-K,2010-02-25,490000000.0,,,,,,,,,
