ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
NVDA,180.05,55.27,39.41,1.088,-27.34,0.1701,-0.162,1.067,37.6,2.38,4476616.0,5.548327707885853,6.5005012381836735,5.0,5.0,5.61,MODERATE,,2026-03-04,
JPM,300.26,22.44,23.72,1.078,-11.38,0.1015,-0.507,1.467,14.9,1.06,806049.0,1.2154034980055224,1.0,5.0,5.0,2.66,LOW,,2026-03-04,
ARM,121.72,-0.63,51.46,0.063,-41.47,0.0128,0.119,1.843,167.7,4.13,131805.0,5.539296672173709,8.307777575867709,5.0,5.0,6.15,HIGH,Technology,2026-03-04,Technology_batch1
ASML,1360.94,93.85,38.75,1.752,-20.93,0.2695,-0.065,1.345,48.8,1.43,549475.0,2.8395090866178903,2.7972454464019103,5.0,5.0,3.69,MODERATE,Technology,2026-03-04,Technology_batch1
TEAM,78.38,-71.35,53.2,-2.149,-75.85,-0.4537,-0.409,1.116,,0.98,20258.0,5.908897805050746,5.001033968035134,5.0,5.0,5.27,MODERATE,Technology,2026-03-04,Technology_batch1
MRVL,77.51,-11.96,56.8,0.241,-43.83,0.0543,-0.384,1.805,27.5,1.99,68208.0,6.673589804106681,3.804854420729929,5.0,5.0,5.14,MODERATE,Technology,2026-03-04,Technology_batch1
MSTR,132.68,-51.78,72.46,-0.838,-75.96,-0.241,0.073,1.255,,3.63,48875.0,10.0,6.76010749477456,5.0,5.0,7.03,HIGH,Technology,2026-03-04,Technology_batch1
PDD,100.71,-11.2,34.52,0.096,-31.53,0.0132,-0.341,1.362,10.1,0.05,143654.0,1.9409959877271663,1.5200799563874252,5.0,5.0,3.04,LOW,Technology,2026-03-04,Technology_batch1
SHOP,121.87,19.8,55.13,0.454,-38.18,0.0993,0.048,1.428,136.5,2.9,169204.0,6.3188576823224,6.619695589235048,5.0,5.0,5.88,MODERATE,Technology,2026-03-04,Technology_batch1
TRI,105.46,-38.89,30.09,-1.349,-56.37,-0.1611,-0.141,3.474,31.9,0.17,46645.0,1.0,3.3162146714729337,5.0,5.0,3.29,LOW,Technology,2026-03-04,Technology_batch1
ZS,154.67,-20.2,42.08,-0.213,-54.49,-0.0355,-0.495,2.566,,1.12,24911.0,3.5468491857446307,4.045670850591173,5.0,5.0,4.28,MODERATE,Technology,2026-03-04,Technology_batch1
AES,14.18,36.93,43.6,0.834,-25.53,0.1443,-0.041,3.084,9.4,0.94,10176.0,8.4431718061674,4.679039324774525,1.0,5.0,5.14,MODERATE,Utilities,2026-03-04,Utilities_batch1
LNT,72.23,15.09,16.29,1.127,-7.2,0.0728,-0.296,0.497,23.0,0.61,18591.0,1.224669603524229,3.3741584945666574,6.264132527180543,5.0,3.63,MODERATE,Utilities,2026-03-04,Utilities_batch1
AEE,111.99,15.27,15.44,1.205,-7.77,0.0738,-0.152,0.494,21.2,0.53,31327.0,1.0,2.9536992716684582,6.264132527180543,5.0,3.44,LOW,Utilities,2026-03-04,Utilities_batch1
AEP,131.92,29.53,18.18,1.447,-8.28,0.1044,0.092,0.943,20.0,0.57,72216.0,1.724229074889868,3.011837078859253,6.264132527180543,5.0,3.67,MODERATE,Utilities,2026-03-04,Utilities_batch1
AWK,135.81,0.02,23.23,0.123,-16.9,0.0114,0.133,0.862,24.0,0.76,26628.0,3.0590308370044053,4.838634301174734,6.264132527180543,5.0,4.62,MODERATE,Utilities,2026-03-04,Utilities_batch1
ATO,186.0,26.97,15.65,1.712,-7.2,0.1063,-0.284,0.593,24.3,0.7,30899.0,1.0555066079295157,3.826186058839119,10.0,5.0,4.46,MODERATE,Utilities,2026-03-04,Utilities_batch1
CNP,43.39,31.77,16.06,1.844,-8.39,0.1175,-0.184,0.267,27.5,0.54,28739.0,1.1638766519823789,3.7032668633020673,6.264132527180543,5.0,3.71,MODERATE,Utilities,2026-03-04,Utilities_batch1
CMS,77.8,10.0,16.6,0.7,-8.31,0.0461,-0.335,0.414,22.2,0.43,23938.0,1.306607929515419,2.754409753849211,6.202698198277222,5.0,3.46,LOW,Utilities,2026-03-04,Utilities_batch1
